epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.16608,2.89399,5.44783,2.94522,0,0,0,0,2.80494,6.0603,3.29287,0,0,0
2,10.5186,2.96424,5.29887,2.76432,0,0,0,0,2.87584,6.08995,3.24848,1.16644e-06,1.16644e-06,1.16644e-06
3,14.5891,3.06107,5.30189,2.931,0,0,0,0,3.01022,6.06868,3.21017,2.28575e-06,2.28575e-06,2.28575e-06
4,19.0744,2.82797,5.30059,2.70963,0,0,0,0,3.07032,5.91359,3.14548,3.35794e-06,3.35794e-06,3.35794e-06
5,23.3175,2.9808,5.3354,2.87449,0,0,0,0,3.0822,5.92265,3.04726,4.38301e-06,4.38301e-06,4.38301e-06
6,27.6413,3.06675,5.18045,3.07921,0,0,0,0,3.29202,6.04264,3.20719,5.36095e-06,5.36095e-06,5.36095e-06
7,31.7269,2.73874,5.37209,2.84031,0,0,0,0,3.38439,6.07564,3.14187,6.29177e-06,6.29177e-06,6.29177e-06
8,35.9278,2.93932,5.31931,2.95291,0,0,0,0,3.51227,6.00625,3.13664,7.17546e-06,7.17546e-06,7.17546e-06
9,39.5094,2.77283,5.37121,2.89363,0,0,0,0,3.51862,6.0325,3.14641,8.01203e-06,8.01203e-06,8.01203e-06
10,42.5809,3.16375,5.16736,3.03227,0,0,0,0,3.56003,6.03076,3.19105,8.80148e-06,8.80148e-06,8.80148e-06
11,46.267,2.92489,5.36571,2.90166,0,0,0,0,3.5063,6.06793,3.1993,9.5438e-06,9.5438e-06,9.5438e-06
12,49.302,2.56176,5.31268,2.60604,0,0,0,0,3.45381,6.05872,3.2152,1.0239e-05,1.0239e-05,1.0239e-05
13,52.4985,2.99312,5.25224,2.82678,0,0,0,0,3.40789,6.08717,3.20449,1.08871e-05,1.08871e-05,1.08871e-05
14,55.527,3.5261,5.32364,3.20546,0,0,0,0,3.37709,6.10166,3.22987,1.1488e-05,1.1488e-05,1.1488e-05
15,58.9137,2.77755,5.22893,2.72164,0,0,0,0,3.35653,6.10059,3.22791,1.20418e-05,1.20418e-05,1.20418e-05
16,62.0205,3.03221,5.03871,2.81092,0,0,0,0,3.2757,6.04651,3.25179,1.25486e-05,1.25486e-05,1.25486e-05
17,64.9646,3.15103,5.24217,2.82505,0,0,0,0,3.25077,6.03547,3.24185,1.30081e-05,1.30081e-05,1.30081e-05
18,68.0395,3.00904,5.34403,2.89957,0,0,0,0,3.25077,6.03547,3.24185,1.34206e-05,1.34206e-05,1.34206e-05
19,71.1837,2.82694,5.19548,2.7482,0,0,0,0,3.1454,5.9549,3.23656,1.37859e-05,1.37859e-05,1.37859e-05
20,74.421,2.84595,5.48396,2.88248,0,0,0,0,3.1454,5.9549,3.23656,1.41041e-05,1.41041e-05,1.41041e-05
21,77.4293,3.25495,5.32092,3.23688,0,0,0,0,3.0441,5.89793,3.19842,1.43752e-05,1.43752e-05,1.43752e-05
22,80.7978,2.98313,5.22571,2.93703,0,0,0,0,3.0441,5.89793,3.19842,1.45992e-05,1.45992e-05,1.45992e-05
23,83.7368,2.88834,5.23588,2.9195,0,0,0,0,3.07855,5.9058,3.20002,1.4776e-05,1.4776e-05,1.4776e-05
24,86.8812,3.06972,5.33308,3.06485,0,0,0,0,3.07855,5.9058,3.20002,1.49057e-05,1.49057e-05,1.49057e-05
25,90.1644,3.06664,5.17508,2.84526,0,0,0,0,3.03424,5.87316,3.19311,1.49883e-05,1.49883e-05,1.49883e-05
26,93.1951,2.90604,5.24851,2.92342,0,0,0,0,3.03424,5.87316,3.19311,1.50238e-05,1.50238e-05,1.50238e-05
27,96.7117,3.01716,5.16722,2.93254,0,0,0,0,3.00022,5.84695,3.21065,1.50121e-05,1.50121e-05,1.50121e-05
28,99.877,2.89641,5.11294,2.69522,0,0,0,0,3.00022,5.84695,3.21065,1.49533e-05,1.49533e-05,1.49533e-05
29,102.9,2.7914,5.22635,2.79199,0,0,0,0,2.97501,5.84225,3.20815,1.48474e-05,1.48474e-05,1.48474e-05
30,106.131,2.77067,5.10402,2.8881,0,0,0,0,2.97501,5.84225,3.20815,1.46944e-05,1.46944e-05,1.46944e-05
31,109.076,3.13928,5.21211,2.92325,0,0,0,0,2.95306,5.83761,3.22373,1.44942e-05,1.44942e-05,1.44942e-05
32,112.354,2.44373,5.10624,2.65716,0,0,0,0,2.95306,5.83761,3.22373,1.42469e-05,1.42469e-05,1.42469e-05
33,115.366,3.00343,5.24567,2.95826,0,0,0,0,2.89931,5.8478,3.22311,1.39525e-05,1.39525e-05,1.39525e-05
34,118.303,2.90766,5.16119,2.86055,0,0,0,0,2.89931,5.8478,3.22311,1.3611e-05,1.3611e-05,1.3611e-05
35,121.731,2.93189,5.20571,2.9209,0,0,0,0,2.8455,5.85092,3.21132,1.32223e-05,1.32223e-05,1.32223e-05
36,124.666,3.00336,5.24511,2.92671,0,0,0,0,2.8455,5.85092,3.21132,1.27866e-05,1.27866e-05,1.27866e-05
37,127.84,2.84318,5.15698,2.78601,0,0,0,0,2.81531,5.85091,3.19655,1.23036e-05,1.23036e-05,1.23036e-05
38,130.93,2.63886,5.19286,2.65635,0,0,0,0,2.81531,5.85091,3.19655,1.17736e-05,1.17736e-05,1.17736e-05
39,133.875,3.17931,5.33091,2.85282,0,0,0,0,2.79145,5.84073,3.17399,1.11965e-05,1.11965e-05,1.11965e-05
40,137.062,2.7971,5.15653,2.77961,0,0,0,0,2.79145,5.84073,3.17399,1.05722e-05,1.05722e-05,1.05722e-05
41,140.193,2.97117,5.35225,3.0787,0,0,0,0,2.79139,5.82191,3.15908,9.9008e-06,9.9008e-06,9.9008e-06
42,143.144,2.30466,5.47333,2.48439,0,0,0,0,2.79139,5.82191,3.15908,9.18228e-06,9.18228e-06,9.18228e-06
43,146.416,2.42115,5.30662,2.74694,0,0,0,0,2.79332,5.82544,3.14369,8.41663e-06,8.41663e-06,8.41663e-06
44,149.313,2.69187,5.45984,2.951,0,0,0,0,2.79332,5.82544,3.14369,7.60386e-06,7.60386e-06,7.60386e-06
45,152.555,2.32912,5.27645,2.65557,0,0,0,0,2.81284,5.81228,3.12254,6.74397e-06,6.74397e-06,6.74397e-06
46,155.878,2.37371,5.40743,2.5139,0,0,0,0,2.81284,5.81228,3.12254,5.83695e-06,5.83695e-06,5.83695e-06
47,158.871,2.53143,5.30818,2.78159,0,0,0,0,2.84422,5.80395,3.10552,4.88281e-06,4.88281e-06,4.88281e-06
48,162.181,2.3607,5.29144,2.51705,0,0,0,0,2.84422,5.80395,3.10552,3.88154e-06,3.88154e-06,3.88154e-06
49,165.091,2.42909,5.34569,2.61957,0,0,0,0,2.90086,5.76454,3.0786,2.83315e-06,2.83315e-06,2.83315e-06
50,168.245,2.72879,5.36675,2.9061,0,0,0,0,2.90086,5.76454,3.0786,1.73764e-06,1.73764e-06,1.73764e-06
